priority,category,scope,issue,status,resolution,evidence
P0,data_fact,chapter2,XSI fixed endpoints lacked a final physical interpretation,resolved,"Described as sparse signed 24-bit acquisition saturation or digital clipping; 156 samples in 75 records; no historical repair or masking; aggregate impact can be neglected","confirmed project facts and source-data audit"
P0,data_fact,chapters2-3,CAST acoustic-impedance unit was previously unresolved,resolved,"Unified Zc unit as MRayl","project-participant final confirmation"
P0,data_fact,chapters2-3,CAST threshold identity could be mistaken for a universal standard,resolved,"Defined 2.5 MRayl as Halliburton's project-specific interpretation convention rather than a universal industry threshold","project-participant final confirmation"
P0,data_fact,chapters2-3,CAST negative-value effect on the target experiments was unresolved,resolved,"Recorded that all 14 negatives lie outside 2732-4132 ft and none entered severity labels or train validation and test data","historical label code and depth audit"
P0,source_identity,abstract_and_chapter2,Collaboration organization was anonymized or marked pending,resolved,"Unified the Chinese name as 美国哈里伯顿公司 and the English name as Halliburton","project-participant publication confirmation"
P0,method_boundary,chapters2-6,Azimuthal FFT representation could be read as recovering direction,resolved,"Explained circular-shift magnitude invariance and stated that phase and absolute azimuth are discarded and cannot be recovered","orientation audit and Fourier shift theorem"
P1,interpretability,chapter4,Grad-CAM figure provenance is incomplete,open_nonblocking,"Classified candidate figures as partially_verified and excluded them from the thesis body; retained only the method and interpretation boundary","gradcam_final_decision.md"
P1,conclusion_boundary,abstract_chapters4-6,Model performance could be overstated,resolved,"Retained the zero-baseline MAE limitation low R2 limited correlations high-severity underestimation and single-well scope","frozen experiment records"
P2,citations,whole_thesis,Citation-key and bibliography consistency required final verification,resolved,"48 used keys match 48 BibTeX entries; zero undefined citations and zero unused entries","static citation audit and final compile log"
P2,terminology,whole_thesis,Internal project language and inconsistent terminology remained possible,resolved,"Removed internal experiment IDs from the main narrative and unified formal experiment data and split names","full-text search audit"
P3,administrative,main.tex,Cover metadata remains to be completed by the author,open_human,"Author adviser school major student number classification UDC and submission dates remain explicit administrative placeholders","human_followup_items.md"
P3,administrative,acknowledgements,Acknowledgement text remains to be completed by the author,open_human,"No personal acknowledgement content was invented","human_followup_items.md"
P3,layout,cover_and_chapter2,Two underfull boxes remain,accepted,"No content overlap or omission; one is tied to incomplete cover metadata and one to a table row","final compile log"
P3,template,whole_thesis,One xeCJK template font warning remains,accepted,"The warning is inherited from the template; thesis-uestc.cls was intentionally not modified","final compile log"
