literature_key,claim_id,topic,claim_supported,verification_level,evidence_locator,use_scope,limitations
Pardue1963CementBond,C01,T1/T2 cement integrity and sonic evaluation,套管波衰减与水泥和套管条件相关，传统 CBL 依赖标定与边界条件。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Froelich1982CementEvaluation,C02,T1/T2 cement integrity and sonic evaluation,超声脉冲回波可利用套管共振响应估计套管后介质性质。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Bigelow1990SegmentedBond,C03,T1/T2 cement integrity and sonic evaluation,分区胶结工具通过周向分区测量提高局部缺陷的方位分辨能力。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
VanKuijk2005UltrasonicImager,C04,T1/T2 cement integrity and sonic evaluation,超声套管井成像将脉冲回波扩展到周向水泥评价。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Uswak1995CementImaging,C05,T1/T2 cement integrity and sonic evaluation,超声成像能够形成水泥环周向响应图，而非只给出单一幅度曲线。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Wang2016AcousticCementMethods,C06,T1/T2 cement integrity and sonic evaluation,声波、脉冲回波和弯曲波方法测量不同波模态，具有互补性与各自边界。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Kinoshita2013LWDSonicCement,C07,T1/T2 cement integrity and sonic evaluation,随钻声波定量水泥评价受套管波与钻铤波分离、套管厚度和水泥阻抗约束。,fulltext,local PDF; see reading note,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Sun2016UltrabroadbandAcoustic,C08,T2 XSI tool,XSI 类超宽带阵列声波工具包含 13 个轴向接收环，每环 8 个方位接收器。,fulltext,local PDF; see reading note,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Lu2014AzimuthalAcoustic,C09,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,方位声波阵列能够利用多方位套管波信息评价周向胶结差异。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Che2014PhasedArcReception,C10,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,相控弧阵列接收可提高入射方向分辨率和信噪比。,fulltext,local PDF; see reading note,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Che2016AzimuthalCement,C11,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,方位发射与现场试验说明阵列声波可用于周向胶结评价。,metadata,Crossref/OpenAlex metadata,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Che2017AzimuthalReceiver,C12,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,64 传感器、8 接收站的方位接收短节可组合多种接收子阵列。,fulltext,local PDF; see reading note,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Zuo2020AzimuthCement,C13,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,8 单元弧形相控接收站可通过独立或扫描接收分析窜槽方位范围。,fulltext,local PDF; see reading note,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Viggen2020AutomaticCement,C14,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,监督卷积网络可用于套管井水泥评价日志的自动解释。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Wang2017CasedHoleWavefield,C15,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,套管井中的声场由套管、井液、水泥和地层耦合传播共同决定。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Froelich2008MultimodeCement,C16,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,多模态超声响应可补充单一脉冲回波对套管后水泥的评价。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Viggen2016PulseEcho,C17,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,外套管回波模拟说明脉冲回波解释受多界面传播影响。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Acosta2017UltrasonicCement,C18,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,声波与周向超声组合可提供相互独立且互补的胶结评价信息。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Udebhulu2023CementIntegrityReview,C19,T1/T2 cement integrity and sonic evaluation,水泥环完整性评价需结合材料、界面和服役条件，单一测量存在边界。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
