chapter,section,claim,citation_key,source_title,verification_level,evidence_page,citation_status,notes
chapter1_intro; chapter5_discussion,研究背景与意义; 声幅与全波列评价; 与现有固井评价方法的关系,套管波衰减与水泥和套管条件相关，传统 CBL 依赖标定与边界条件。,Pardue1963CementBond,Cement Bond Log-A Study of Cement and Casing Variables,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter2_data_problem; chapter3_method; chapter5_discussion,研究背景与意义; 超声脉冲回波与周向成像; 声波测井与超声成像测井概述; 测量原理与矩阵组织; CAST 严重度表征; 与现有固井评价方法的关系,超声脉冲回波可利用套管共振响应估计套管后介质性质。,Froelich1982CementEvaluation,Cement Evaluation Tool: A New Approach to Cement Evaluation,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter5_discussion,分区与阵列声波评价; 与现有固井评价方法的关系,分区胶结工具通过周向分区测量提高局部缺陷的方位分辨能力。,Bigelow1990SegmentedBond,A New and Innovative Technology for Cement Evaluation,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter5_discussion,超声脉冲回波与周向成像; 与现有固井评价方法的关系,超声套管井成像将脉冲回波扩展到周向水泥评价。,VanKuijk2005UltrasonicImager,A Novel Ultrasonic Cased-Hole Imager for Enhanced Cement Evaluation,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,超声脉冲回波与周向成像,超声成像能够形成水泥环周向响应图，而非只给出单一幅度曲线。,Uswak1995CementImaging,Cement Imaging Through Ultrasonics,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter2_data_problem; chapter3_method; chapter5_discussion,研究背景与意义; 声幅与全波列评价; 声波测井与超声成像测井概述; 测量原理与矩阵组织; CAST 严重度表征; 与现有固井评价方法的关系,声波、脉冲回波和弯曲波方法测量不同波模态，具有互补性与各自边界。,Wang2016AcousticCementMethods,Understanding acoustic methods for cement bond logging,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,声幅与全波列评价,随钻声波定量水泥评价受套管波与钻铤波分离、套管厚度和水泥阻抗约束。,Kinoshita2013LWDSonicCement,Feasibility and Challenge of Quantitative Cement Evaluation with LWD Sonic,fulltext,SPE printed pp. 1--5 for method and field comparison; pp. 9--10 for figures.,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter2_data_problem,声波测井与超声成像测井概述; 工具几何与数据子集; 时间采样与分析窗口,XSI 类超宽带阵列声波工具包含 13 个轴向接收环，每环 8 个方位接收器。,Sun2016UltrabroadbandAcoustic,Ultrabroadband Acoustic Logging Tool for Deep Reading Formation Evaluation,fulltext,OTC printed pp. 1--3 for tool geometry; pp. 5--9 for field data and receiver quality control.,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter5_discussion,分区与阵列声波评价; 与现有固井评价方法的关系,方位声波阵列能够利用多方位套管波信息评价周向胶结差异。,Lu2014AzimuthalAcoustic,Azimuthally acoustic logging tool to evaluate cementing quality,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter2_data_problem; chapter5_discussion,分区与阵列声波评价; 多模态联合与数据驱动解释; 工具几何与数据子集; 需要区分的坐标量; 与现有固井评价方法的关系,相控弧阵列接收可提高入射方向分辨率和信噪比。,Che2014PhasedArcReception,An experimental study on azimuthal reception characteristics of acoustic well-logging transducers based on phased-arc arrays,fulltext,GEOPHYSICS pp. D197--D204.,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,分区与阵列声波评价,方位发射与现场试验说明阵列声波可用于周向胶结评价。,Che2016AzimuthalCement,Azimuthal cement evaluation with an acoustic phased-arc array transmitter: numerical simulations and field tests,metadata,Crossref/OpenAlex metadata,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter2_data_problem; chapter5_discussion,分区与阵列声波评价; 工具几何与数据子集; 需要区分的坐标量; 与现有固井评价方法的关系,64 传感器、8 接收站的方位接收短节可组合多种接收子阵列。,Che2017AzimuthalReceiver,Experimental study on the performance of an azimuthal acoustic receiver sonde for a downhole tool,fulltext,Journal pp. 158--162 for sonde and experiment; pp. 166--169 for results and conclusions.,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter2_data_problem; chapter5_discussion,分区与阵列声波评价; 多模态联合与数据驱动解释; 需要区分的坐标量; 与现有固井评价方法的关系,8 单元弧形相控接收站可通过独立或扫描接收分析窜槽方位范围。,Zuo2020AzimuthCement,Evaluation of azimuth cement bond quality based on the arcuate phased array acoustic receiver station,fulltext,Journal pp. 1--3 for tool and beamforming; pp. 7--10 for experiments and conclusions.,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter5_discussion,多模态联合与数据驱动解释; 深度学习在测井解释中的应用现状; CWT 表征与网络骨干的作用,监督卷积网络可用于套管井水泥评价日志的自动解释。,Viggen2020AutomaticCement,Automatic interpretation of cement evaluation logs from cased boreholes using supervised deep neural networks,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,声幅与全波列评价; 声波测井与超声成像测井概述,套管井中的声场由套管、井液、水泥和地层耦合传播共同决定。,Wang2017CasedHoleWavefield,The wavefield of acoustic logging in a cased-hole with a single casing – Part I: a monopole tool,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter2_data_problem,超声脉冲回波与周向成像; 声波测井与超声成像测井概述; 测量原理与矩阵组织,多模态超声响应可补充单一脉冲回波对套管后水泥的评价。,Froelich2008MultimodeCement,Multimode evaluation of cement behind steel pipe,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,超声脉冲回波与周向成像,外套管回波模拟说明脉冲回波解释受多界面传播影响。,Viggen2016PulseEcho,Analysis of outer-casing echoes in simulations of ultrasonic pulse-echo through-tubing logging,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,超声脉冲回波与周向成像,声波与周向超声组合可提供相互独立且互补的胶结评价信息。,Acosta2017UltrasonicCement,"New-Generation, Circumferential Ultrasonic Cement-Evaluation Tool for Thick Casings: Case Study in Ultradeepwater Well",abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,研究背景与意义,水泥环完整性评价需结合材料、界面和服役条件，单一测量存在边界。,Udebhulu2023CementIntegrityReview,A review of cement sheath integrity evaluation techniques for carbon dioxide storage,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter3_method; chapter5_discussion,深度学习在测井解释中的应用现状; CWT 定义与参数; CWT 表征与网络骨干的作用,CWT 与迁移学习已被用于 VDL 水泥胶结分类，支持时频图输入的可行性。,Abdollahian2024TransferCement,Transfer learning for acoustic cement bond evaluation: An image classification approach using acoustic variable Density log,fulltext,"PDF pp. 1--4 for problem, data, and workflow; results and discussion sections thereafter.",cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter5_discussion,深度学习在测井解释中的应用现状; CWT 表征与网络骨干的作用,融合领域知识的神经网络已用于固井质量预测，但任务和标签不同于本文。,Liu2025WideDeepCement,A Cement Bond Quality Prediction Method Based on a Wide and Deep Neural Network Incorporating Embedded Domain Knowledge,fulltext,"PDF pp. 1--5 for problem, data, and architecture; result and limitation sections thereafter.",cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
