figure_id,category,source_path,caption_draft_cn,thesis_chapter,why_useful,quality,needs_redraw,notes
FIG-001,CWT 示例图,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+CNN/sample_scalograms.png,声波信号连续小波变换后的时频图示例（来源：CSI+CNN/sample_scalograms.png）,第2章 数据构建,展示CWT时频图输入,high,no,"Artifact type: image; size=754.0KB; evidence path only, image not modified."
FIG-002,CWT 示例图,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/visualization_plots/150_02_cwt_result.png,声波信号连续小波变换后的时频图示例（来源：temp_result/GaN+2Dlabel/output/visualization_plots/150_02_cwt_result.png）,第2章 数据构建,展示CWT时频图输入,medium,no,"Artifact type: image; size=103.2KB; evidence path only, image not modified."
FIG-003,CWT 示例图,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/visualization_plots/2500_02_cwt_result.png,声波信号连续小波变换后的时频图示例（来源：temp_result/GaN+2Dlabel/output/visualization_plots/2500_02_cwt_result.png）,第2章 数据构建,展示CWT时频图输入,medium,no,"Artifact type: image; size=103.5KB; evidence path only, image not modified."
FIG-004,CWT 示例图,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/results/debug_plots/debug_cwt_array.png,声波信号连续小波变换后的时频图示例（来源：temp_result/baseline/results/debug_plots/debug_cwt_array.png）,第2章 数据构建,展示CWT时频图输入,low,no,"Artifact type: image; size=32.5KB; evidence path only, image not modified."
FIG-005,CWT 示例图,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/visualization_plots/02_cwt_result.png,声波信号连续小波变换后的时频图示例（来源：temp_result/baseline/visualization_plots/02_cwt_result.png）,第2章 数据构建,展示CWT时频图输入,medium,no,"Artifact type: image; size=141.5KB; evidence path only, image not modified."
FIG-006,CWT 示例图,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/log_label/output/visualization_plots/02_cwt_result.png,声波信号连续小波变换后的时频图示例（来源：temp_result/log_label/output/visualization_plots/02_cwt_result.png）,第2章 数据构建,展示CWT时频图输入,medium,no,"Artifact type: image; size=141.5KB; evidence path only, image not modified."
FIG-007,CWT 示例图,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/test_relativity/output/visualization_plots/150_02_cwt_result.png,声波信号连续小波变换后的时频图示例（来源：temp_result/test_relativity/output/visualization_plots/150_02_cwt_result.png）,第2章 数据构建,展示CWT时频图输入,medium,no,"Artifact type: image; size=142.0KB; evidence path only, image not modified."
FIG-008,CWT 示例图,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/test_relativity/output/visualization_plots/2500_02_cwt_result.png,声波信号连续小波变换后的时频图示例（来源：temp_result/test_relativity/output/visualization_plots/2500_02_cwt_result.png）,第2章 数据构建,展示CWT时频图输入,medium,no,"Artifact type: image; size=142.2KB; evidence path only, image not modified."
FIG-009,CWT 示例图,/mnt/c/Users/Administrator/Desktop/Hal/results/双通道学习/array_03/plots/validate_pipeline_02_CWT_vs_Label.png,声波信号连续小波变换后的时频图示例（来源：双通道学习/array_03/plots/validate_pipeline_02_CWT_vs_Label.png）,第2章 数据构建,展示CWT时频图输入,high,no,"Artifact type: image; size=549.9KB; evidence path only, image not modified."
FIG-010,FFT label map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/visualization_plots/06_profile_label_generation.png,方位维 FFT 幅值标签生成示例（来源：FFT_EfficientNet/output/visualization_plots/06_profile_label_generation.png）,第3章 标签构造,展示FFT标签生成流程,medium,maybe,"Artifact type: image; size=107.2KB; evidence path only, image not modified."
FIG-011,FFT label map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/visualization_plots/fft_regression/06_label_generation_fft_regression.png,方位维 FFT 幅值标签生成示例（来源：FFT_EfficientNet/output/visualization_plots/fft_regression/06_label_generation_fft_regression.png）,第3章 标签构造,展示FFT标签生成流程,medium,maybe,"Artifact type: image; size=104.8KB; evidence path only, image not modified."
FIG-012,FFT label map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet_1/06_label_generation_fft_regression.png,方位维 FFT 幅值标签生成示例（来源：FFT_EfficientNet_1/06_label_generation_fft_regression.png）,第3章 标签构造,展示FFT标签生成流程,medium,maybe,"Artifact type: image; size=104.8KB; evidence path only, image not modified."
FIG-013,FFT label map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet_1/output/visualization_plots/06_profile_label_generation.png,方位维 FFT 幅值标签生成示例（来源：FFT_EfficientNet_1/output/visualization_plots/06_profile_label_generation.png）,第3章 标签构造,展示FFT标签生成流程,medium,maybe,"Artifact type: image; size=107.2KB; evidence path only, image not modified."
FIG-014,FFT label map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet_1/output/visualization_plots/fft_regression/06_label_generation_fft_regression.png,方位维 FFT 幅值标签生成示例（来源：FFT_EfficientNet_1/output/visualization_plots/fft_regression/06_label_generation_fft_regression.png）,第3章 标签构造,展示FFT标签生成流程,medium,maybe,"Artifact type: image; size=104.8KB; evidence path only, image not modified."
