figure_file,source_path,experiment_internal_id,formal_experiment_name,split_protocol,checkpoint,data_scope,metric_scope,figure_type,usable_in_main_text,usable_in_appendix,confidence,evidence,notes
_overall_performance_scatter.png,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet_1/output/fft_regression/array_03/results/fft_model_analysis_plots/_overall_performance_scatter.png,EXP-008,基于方位旋转不变 FFT 幅值标签的窜槽结构特征反演实验,随机样本划分,unknown,array_03 pilot,random-split pilot,scatter,no,no,medium,legacy output directory and plot content,Not mixed with depth-isolated metrics
_depth_log_comparison.png,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet_1/output/fft_regression/array_03/results/fft_model_analysis_plots/_depth_log_comparison.png,EXP-008,基于方位旋转不变 FFT 幅值标签的窜槽结构特征反演实验,随机样本划分,unknown,array_03 pilot,random-split pilot,depth comparison,no,no,medium,legacy output directory and plot content,Checkpoint cannot be uniquely tied to one TensorBoard run
_fft_spectrum_image_comparison.png,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet_1/output/fft_regression/array_03/results/fft_model_analysis_plots/_fft_spectrum_image_comparison.png,EXP-008,基于方位旋转不变 FFT 幅值标签的窜槽结构特征反演实验,随机样本划分,unknown,array_03 pilot,random-split pilot,FFT image comparison,no,no,medium,legacy output directory and plot content,Not evidence for the depth-isolated test
combo_sample_312.png,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet_1/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_312.png,EXP-008,基于方位旋转不变 FFT 幅值标签的窜槽结构特征反演实验,随机样本划分,unknown,array_03 pilot,one pilot sample,Grad-CAM,no,no,low,visible Grad-CAM panel and 2025-11-17 timestamp,Target output layer and checkpoint are unresolved
training_curve_redraw.png,docs/thesis_evidence/remote_exp008_depth_blocked_train/figures_redraw/training_curve_redraw.png,EXP-008,基于方位旋转不变 FFT 幅值标签的窜槽结构特征反演实验,单井深度区间隔离划分,best epoch 2,array_03 train/validation,loss history,training curve,yes,yes,high,training_history.csv and train.log,Derived only from recorded history
prediction_vs_truth_scatter_redraw.png,docs/thesis_evidence/remote_exp008_depth_blocked_train/figures_redraw/prediction_vs_truth_scatter_redraw.png,EXP-008,基于方位旋转不变 FFT 幅值标签的窜槽结构特征反演实验,单井深度区间隔离划分,best epoch 2,array_03 test n=423,test aggregate,scatter,yes,yes,high,prediction_summary.csv and test_metrics.json,Uses final test predictions
baseline_comparison_bar.png,docs/thesis_evidence/remote_exp008_depth_blocked_train/figures_redraw/baseline_comparison_bar.png,EXP-008,基于方位旋转不变 FFT 幅值标签的窜槽结构特征反演实验,单井深度区间隔离划分,best epoch 2,array_03 test n=423,model and baselines,bar chart,yes,yes,high,test_metrics.json and baseline audit,Must state zero baseline has lower MAE
per_fft_coefficient_mae.png,docs/thesis_evidence/remote_exp008_depth_blocked_train/figures_redraw/per_fft_coefficient_mae.png,EXP-008,基于方位旋转不变 FFT 幅值标签的窜槽结构特征反演实验,单井深度区间隔离划分,best epoch 2,array_03 test n=423,coefficient MAE,error curve,yes,yes,high,prediction_summary.csv,Small high-frequency MAE reflects smaller target magnitude
error_distribution.png,docs/thesis_evidence/remote_exp008_depth_blocked_train/figures_redraw/error_distribution.png,EXP-008,基于方位旋转不变 FFT 幅值标签的窜槽结构特征反演实验,单井深度区间隔离划分,best epoch 2,array_03 test n=423,residual distribution,histogram,yes,yes,high,prediction_summary.csv,Descriptive only
target_vs_prediction_lowfreq_summary.png,docs/thesis_evidence/remote_exp008_depth_blocked_train/figures_redraw/target_vs_prediction_lowfreq_summary.png,EXP-008,基于方位旋转不变 FFT 幅值标签的窜槽结构特征反演实验,单井深度区间隔离划分,best epoch 2,array_03 test n=423,low-frequency summary,scatter,yes,yes,high,prediction_summary.csv,Used for severity-related error discussion
