path,source_ref,role,key_functions_classes,input_output_files,likely_experiment_group,thesis_relevance,confidence,evidence_note
config.py,working tree:config.py; read_status=utf-8-sig,CWT transformation; TFRecord/HDF5 generation; FFT label/script; train/test split logic,,ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5,CWT preprocessing,label construction and method rationale; data leakage risk review; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
main.py,working tree:main.py; read_status=utf-8-sig,preprocessing script; TFRecord/HDF5 generation,check_output_exists; run_step; main,cwt_images.h5; translation_data.tfrecord; processed_waveforms.pkl,CWT preprocessing,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/1D+percentage_Label:config.py,git show origin/1D+percentage_Label:config.py,CWT transformation; TFRecord/HDF5 generation; label construction; FFT label/script; train/test split logic,,ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5,1D percentage label / EfficientNet,label construction and method rationale; data leakage risk review; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/1D+percentage_Label:main.py,git show origin/1D+percentage_Label:main.py,preprocessing script; TFRecord/HDF5 generation; label construction,check_output_exists; run_step; main,cwt_images.h5; translation_data.tfrecord; processed_waveforms.pkl,1D percentage label / EfficientNet,label construction and method rationale; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/1D+percentage_Label:src/cwt_transformation/main_transform_translation.py,git show origin/1D+percentage_Label:src/cwt_transformation/main_transform_translation.py,CWT transformation; TFRecord/HDF5 generation; label construction,batch_cwt_transformer; transform_waveforms_to_cwt_images,processed_waveforms.pkl; cwt_images.h5,1D percentage label / EfficientNet,label construction and method rationale; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/1D+percentage_Label:src/data_processing/create_tfrecords.py,git show origin/1D+percentage_Label:src/data_processing/create_tfrecords.py,TFRecord/HDF5 generation; label construction; artifact masking / binary mask,_bytes_feature; process_zc_slice_to_label; create_tfrecord_example; create_tfrecords_for_profile_regression,cwt_images.h5; processed_waveforms.pkl; profile_regression_data.tfrecord,1D percentage label / EfficientNet,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/1D+percentage_Label:src/data_processing/main_preprocess.py,git show origin/1D+percentage_Label:src/data_processing/main_preprocess.py,preprocessing script; TFRecord/HDF5 generation; label construction; result saving logic,apply_high_pass_filter; load_and_prepare_data; create_unified_depth_grid; interpolate_to_grid; build_and_save_outputs; main,CAST.mat; XSILMR{str(array_id).zfill(2)}.mat; ground_truth_db_array_{str(array_id).zfill(2)}.h5; processed_waveforms.pkl,1D percentage label / EfficientNet,label construction and method rationale; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/1D+percentage_Label:src/interpretation/run_analysis_regressor.py,git show origin/1D+percentage_Label:src/interpretation/run_analysis_regressor.py,TFRecord/HDF5 generation; label construction; severity transform; Grad-CAM analysis; result saving logic,make_gradcam_heatmap_for_regression; classify_by_severity_profile; generate_waveform_and_gradcam_plots; create_profile_comparison_image; run_analysis_regressor,combo_sample_{i}.png; best_advanced_regressor_model.h5; profile_regression_data.tfrecord; cwt_images.h5; processed_waveforms.pkl; _virtual_log_comparison.png,1D percentage label / EfficientNet,label construction and method rationale; evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
origin/1D+percentage_Label:src/modeling/dataset.py,git show origin/1D+percentage_Label:src/modeling/dataset.py,TFRecord/HDF5 generation; label construction,create_dataset,unknown,1D percentage label / EfficientNet,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/1D+percentage_Label:src/modeling/model.py,git show origin/1D+percentage_Label:src/modeling/model.py,label construction; EfficientNetV2B0 model,build_advanced_profile_regressor,https://storage.googleapis.com/tensorflow/keras-applications/efficientnet_v2/efficientnetv2-b0_notop.h5; efficientnetv2-b0_notop.h5,1D percentage label / EfficientNet,label construction and method rationale; model/training method,strong,Repository code or tracked branch snapshot; no training executed.
origin/1D+percentage_Label:src/modeling/train.py,git show origin/1D+percentage_Label:src/modeling/train.py,TFRecord/HDF5 generation; label construction; training logic; analysis/evaluation/metric computation; result saving logic; artifact masking / binary mask; train/test split logic,augment_cwt; _parse_regression_tfrecord_fn; train_regressor_model,profile_regression_data.tfrecord; best_advanced_regressor_model.h5; training_history_advanced.pkl,1D percentage label / EfficientNet,label construction and method rationale; model/training method; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/1D+percentage_Label:src/visualization/visualize_data_pipeline.py,git show origin/1D+percentage_Label:src/visualization/visualize_data_pipeline.py,TFRecord/HDF5 generation; label construction; result saving logic,visualize_profile_label_generation,processed_waveforms.pkl; ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5; 06_profile_label_generation.png,1D percentage label / EfficientNet,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/1D+percentage_Label:src/visualization/visualize_training_history.py,git show origin/1D+percentage_Label:src/visualization/visualize_training_history.py,label construction; result saving logic,plot_training_history,training_history_advanced.pkl; training_history.pkl; 05_training_history_regression.png,1D percentage label / EfficientNet,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/GaN:config.py,git show origin/GaN:config.py,CWT transformation; TFRecord/HDF5 generation; FFT label/script; train/test split logic,,ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5,GAN/severity map,label construction and method rationale; data leakage risk review; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/GaN:main.py,git show origin/GaN:main.py,preprocessing script; TFRecord/HDF5 generation,check_output_exists; run_step; main,cwt_images.h5; translation_data.tfrecord; processed_waveforms.pkl,GAN/severity map,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/GaN:src/cwt_transformation/main_transform_translation.py,git show origin/GaN:src/cwt_transformation/main_transform_translation.py,CWT transformation; TFRecord/HDF5 generation,batch_cwt_transformer; transform_waveforms_to_cwt_images,processed_waveforms.pkl; cwt_images.h5,GAN/severity map,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/GaN:src/data_processing/create_tfrecords.py,git show origin/GaN:src/data_processing/create_tfrecords.py,TFRecord/HDF5 generation; label construction; FFT label/script; dual-input/metadata model; artifact masking / binary mask,_bytes_feature; process_zc_slice_to_label; create_tfrecord_example; create_tfrecords_for_translation,cwt_images.h5; processed_waveforms.pkl; translation_data.tfrecord,CWT-label binary classification,label construction and method rationale; model/training method,strong,Repository code or tracked branch snapshot; no training executed.
origin/GaN:src/data_processing/main_preprocess.py,git show origin/GaN:src/data_processing/main_preprocess.py,preprocessing script; TFRecord/HDF5 generation; result saving logic,apply_high_pass_filter; load_and_prepare_data; create_unified_depth_grid; interpolate_to_grid; build_and_save_outputs; main,CAST.mat; XSILMR{str(array_id).zfill(2)}.mat; ground_truth_db_array_{str(array_id).zfill(2)}.h5; processed_waveforms.pkl,GAN/severity map,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/GaN:src/interpretation/run_analysis_classification.py,git show origin/GaN:src/interpretation/run_analysis_classification.py,TFRecord/HDF5 generation; label construction; FFT label/script; analysis/evaluation/metric computation; result saving logic; artifact masking / binary mask; train/test split logic,dice_coefficient; reconstruct_mask_from_fft; run_model_analysis,best_a2inet_model.h5; translation_data.tfrecord; sample_{i}_mask_comparison.png,CWT-label binary classification,label construction and method rationale; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
